caseid,linksrechts_parteien_1,linksrechts_parteien_2,linksrechts_parteien_3,linksrechts_parteien_4,linksrechts_parteien_5,linksrechts_parteien_6,linksrechts_selbst,erststimme_BTW21,zweitstimme_BTW21,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,coalition_8,coalition_9,klimawandel_parteien_1,klimawandel_parteien_2,klimawandel_parteien_3,klimawandel_parteien_4,klimawandel_parteien_5,klimawandel_parteien_6,klimawandel_parteien_7,klimawandel_selbst,immigration_parteien_1,immigration_parteien_2,immigration_parteien_3,immigration_parteien_4,immigration_parteien_5,immigration_parteien_6,immigration_parteien_7,immigration_selbst,corona_parteien,kandidateneinstufungen_1,kandidateneinstufungen_2,kandidateneinstufungen_3,kandidateneinstufungen_4,kandidateneinstufungen_5,kandidateneinstufungen_6,education_paul_recode,age,WestOst,hinc,Pos. of LINKE in Ranking,Pos. of GRUENE in Ranking,Pos. of SPD in Ranking,Pos. of CDU/CSU in Ranking,Pos. of FDP in Ranking,Pos. of AFD in Ranking
358.0,6,7,4,6,5,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,2,2,2,1,1,4,3,4,4,5,3,5,2,4,7,4,4,4,3,4,3,5,7,4,2,-2,3,1,0,2,1,2,52.0,WEST,3,5,2,1,4,3,6
372.0,11,11,4,11,7,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,4,1,3,1,1,1,3,4,5,7,7,2,7,3,3,977,1,977,977,977,977,977,977,977,6,3,0,5,5,0,977,-5,3,82.0,WEST,977,3,2,1,3,3,3
376.0,6,6,6,6,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,2,2,3,1,1,2,3,3,4,4,4,4,1,6,7,3,977,977,977,977,977,977,7,7,0,-5,0,-4,1,-2,-5,4,47.0,WEST,10,4,3,1,2,4,4
408.0,6,7,5,5,4,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,3,3,1,1,4,1,3,5,5,3,5,1,1,7,4,5,5,4,4,1,1,7,4,2,2,3,-1,1,1,5,2,49.0,WEST,7,5,4,1,3,2,5
423.0,5,4,4,5,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,4,1,2,1,1,2,2,2,5,5,5,5,1,3,7,5,3,5,4,4,2,1,7,6,4,-2,5,-5,5,-3,1,6,73.0,OST,6,4,5,1,2,3,6
426.0,8,9,3,8,4,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,2,2,2,4,4,2,3,1,5,5,4,6,1,1,5,5,6,6,4,5,1,1,7,4,3,1,2,-4,3,2,-3,4,57.0,WEST,11,1,6,2,3,5,4
428.0,8,9,4,7,5,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,2,5,5,6,6,3,6,2,3,977,3,6,6,3,6,2,2,7,4,1,-4,5,4,-4,4,-3,3,66.0,WEST,7,3,2,1,4,4,4
441.0,8,8,3,7,4,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON DIE LINKE,SPD,2,1,2,1,1,1,4,5,5,5,5,4,6,1,2,7,4,4,4,3,5,1,2,7,4,2,-1,5,-2,-5,1,-3,4,56.0,OST,5,2,3,1,5,4,6
445.0,7,9,5,8,1,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,2,1,1,3,3,3,4,4,4,7,1,2,5,5,4,6,4,5,1,1,6,7,2,-1,3,-5,2,0,-1,3,72.0,WEST,977,2,2,1,2,2,2
449.0,1,1,11,11,11,1,11,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,3,1,3,977,977,1,1,1,977,977,1,977,977,1,977,1,977,977,1,1,977,977,977,977,977,977,2,57.0,WEST,2,3,2,1,3,3,3
