,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,Algorithm
93,PLR-BLOCKS,0.8378427787934187,2.6155654254864062,2.9213893967093236,Chain-RFR-PI,0,Chain-RFR-PI
94,PLR-BLOCKS,0.8360146252285193,2.6224343179572474,3.0,Chain-RFR-PI,0,Chain-RFR-PI
95,PLR-BLOCKS,0.8497257769652651,2.6476579256014214,2.9360146252285193,Chain-RFR-PI,0,Chain-RFR-PI
96,PLR-BLOCKS,0.8285191956124315,2.614047730436466,2.9817184643510055,Chain-RFR-PI,0,Chain-RFR-PI
97,PLR-BLOCKS,0.8360146252285193,2.6146036449144696,2.9707495429616086,Chain-RFR-PI,0,Chain-RFR-PI
98,PLR-BLOCKS,0.8400365630712981,2.6454391297098723,2.939670932358318,Chain-RFR-PI,0,Chain-RFR-PI
99,PLR-BLOCKS,0.8447897623400366,2.6153869946912356,2.915904936014625,Chain-RFR-PI,0,Chain-RFR-PI
100,PLR-BREAST,0.6363636363636365,2.4918465057061634,5.818181818181818,Chain-RFR-PI,0,Chain-RFR-PI
101,PLR-BREAST,0.6363636363636362,2.510501065922909,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
102,PLR-BREAST,0.7333333333333335,2.535641700635135,5.7272727272727275,Chain-RFR-PI,0,Chain-RFR-PI
103,PLR-BREAST,0.703030303030303,2.503616825714386,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
104,PLR-BREAST,0.6848484848484847,2.5062811288839804,6.0,Chain-RFR-PI,0,Chain-RFR-PI
105,PLR-BREAST,0.7454545454545454,2.5068195577264896,6.0,Chain-RFR-PI,0,Chain-RFR-PI
106,PLR-BREAST,0.6133333333333333,2.5386683517151285,6.0,Chain-RFR-PI,0,Chain-RFR-PI
107,PLR-BREAST,0.68,2.5037207436134215,5.8,Chain-RFR-PI,0,Chain-RFR-PI
108,PLR-BREAST,0.6666666666666666,2.507220164245666,5.8,Chain-RFR-PI,0,Chain-RFR-PI
109,PLR-BREAST,0.7133333333333333,2.500164177609158,5.8,Chain-RFR-PI,0,Chain-RFR-PI
110,PLR-BREAST,0.6666666666666665,2.5450853237170925,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
111,PLR-BREAST,0.7030303030303031,2.5021054192419614,5.7272727272727275,Chain-RFR-PI,0,Chain-RFR-PI
112,PLR-BREAST,0.6545454545454544,2.502273140766222,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
113,PLR-BREAST,0.7272727272727272,2.5454679483348275,6.0,Chain-RFR-PI,0,Chain-RFR-PI
114,PLR-BREAST,0.6727272727272727,2.5076021733919256,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
